AlarmId,Timestamp,Severity,SourceNodeId,AlarmType,Description,SliceId
ALM-00022,2025-06-21T09:20:00Z,MAJOR,CELL-MEL-01-2-2,RRC_SETUP_FAILURE,RRC setup success on CELL-MEL-01-2-2 dropped below 95%,
ALM-00023,2025-06-21T09:20:00Z,MAJOR,CELL-MEL-01-2-3,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-3 exceeded 90% sustained,
ALM-00024,2025-06-21T09:20:00Z,MAJOR,CELL-MEL-01-2-3,RRC_SETUP_FAILURE,RRC setup success on CELL-MEL-01-2-3 dropped below 95%,
ALM-00025,2025-06-21T09:25:00Z,MAJOR,CELL-MEL-01-2-1,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-1 exceeded 90% sustained,
ALM-00026,2025-06-21T09:25:00Z,MAJOR,CELL-MEL-01-2-2,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-2 exceeded 90% sustained,
ALM-00027,2025-06-21T09:25:00Z,MAJOR,CELL-MEL-01-2-3,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-3 exceeded 90% sustained,
ALM-00028,2025-06-21T09:30:00Z,MAJOR,CELL-MEL-01-2-1,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-1 exceeded 90% sustained,
ALM-00029,2025-06-21T09:30:00Z,MAJOR,CELL-MEL-01-2-2,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-2 exceeded 90% sustained,
ALM-00030,2025-06-21T09:30:00Z,MAJOR,CELL-MEL-01-2-3,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-3 exceeded 90% sustained,
ALM-00031,2025-06-21T09:35:00Z,MAJOR,CELL-MEL-01-2-1,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-1 exceeded 90% sustained,
ALM-00032,2025-06-21T09:35:00Z,MAJOR,CELL-MEL-01-2-2,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-2 exceeded 90% sustained,
ALM-00033,2025-06-21T09:35:00Z,MAJOR,CELL-MEL-01-2-3,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-3 exceeded 90% sustained,
ALM-00034,2025-06-21T09:40:00Z,MAJOR,CELL-MEL-01-2-1,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-1 exceeded 90% sustained,
ALM-00035,2025-06-21T09:40:00Z,MAJOR,CELL-MEL-01-2-2,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-2 exceeded 90% sustained,
ALM-00036,2025-06-21T09:40:00Z,MAJOR,CELL-MEL-01-2-3,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-3 exceeded 90% sustained,
ALM-00037,2025-06-21T09:45:00Z,MAJOR,CELL-MEL-01-2-1,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-1 exceeded 90% sustained,
ALM-00038,2025-06-21T09:45:00Z,MAJOR,CELL-MEL-01-2-2,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-2 exceeded 90% sustained,
ALM-00039,2025-06-21T09:45:00Z,MAJOR,CELL-MEL-01-2-3,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-3 exceeded 90% sustained,
ALM-00040,2025-06-21T09:50:00Z,MAJOR,CELL-MEL-01-2-1,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-1 exceeded 90% sustained,
ALM-00041,2025-06-21T09:50:00Z,MAJOR,CELL-MEL-01-2-2,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-2 exceeded 90% sustained,
ALM-00042,2025-06-21T09:50:00Z,MAJOR,CELL-MEL-01-2-3,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-3 exceeded 90% sustained,
ALM-00043,2025-06-21T09:55:00Z,MAJOR,CELL-MEL-01-2-1,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-1 exceeded 90% sustained,
ALM-00044,2025-06-21T09:55:00Z,MAJOR,CELL-MEL-01-2-2,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-2 exceeded 90% sustained,
ALM-00045,2025-06-21T09:55:00Z,MAJOR,CELL-MEL-01-2-3,PRB_CONGESTION,PRB utilisation on CELL-MEL-01-2-3 exceeded 90% sustained,
ALM-00046,2025-06-21T08:20:00Z,MAJOR,CELL-SYD-01-1-1,PCI_COLLISION,PCI mod-3 collision detected on CELL-SYD-01-1-1 after neighbour list change,
ALM-00047,2025-06-21T08:20:00Z,MAJOR,CELL-SYD-01-1-1,RRC_SETUP_FAILURE,RRC setup success on CELL-SYD-01-1-1 dropped below 95% (no transport fault),
ALM-00048,2025-06-21T08:25:00Z,MAJOR,CELL-SYD-01-1-1,RRC_SETUP_FAILURE,RRC setup success on CELL-SYD-01-1-1 dropped below 95% (no transport fault),
ALM-00049,2025-06-21T08:30:00Z,MAJOR,CELL-SYD-01-1-1,RRC_SETUP_FAILURE,RRC setup success on CELL-SYD-01-1-1 dropped below 95% (no transport fault),
ALM-00050,2025-06-21T08:40:00Z,MAJOR,LINK-MH-DU-BNE-01-1,MIDHAUL_CONGESTION,F1 midhaul LINK-MH-DU-BNE-01-1 saturated; all served cells throughput-capped,
ALM-00051,2025-06-21T08:40:00Z,MINOR,CELL-BNE-01-1-1,PRB_CONGESTION,PRB elevated on CELL-BNE-01-1-1 (uniform across DU — midhaul-bound),
ALM-00052,2025-06-21T08:40:00Z,MINOR,CELL-BNE-01-1-2,PRB_CONGESTION,PRB elevated on CELL-BNE-01-1-2 (uniform across DU — midhaul-bound),
ALM-00053,2025-06-21T08:40:00Z,MINOR,CELL-BNE-01-1-3,PRB_CONGESTION,PRB elevated on CELL-BNE-01-1-3 (uniform across DU — midhaul-bound),
ALM-00054,2025-06-21T08:50:00Z,MINOR,CELL-BNE-01-1-1,PRB_CONGESTION,PRB elevated on CELL-BNE-01-1-1 (uniform across DU — midhaul-bound),
ALM-00055,2025-06-21T08:50:00Z,MINOR,CELL-BNE-01-1-2,PRB_CONGESTION,PRB elevated on CELL-BNE-01-1-2 (uniform across DU — midhaul-bound),
ALM-00056,2025-06-21T08:50:00Z,MINOR,CELL-BNE-01-1-3,PRB_CONGESTION,PRB elevated on CELL-BNE-01-1-3 (uniform across DU — midhaul-bound),
ALM-00057,2025-06-21T09:00:00Z,MINOR,CELL-BNE-01-1-1,PRB_CONGESTION,PRB elevated on CELL-BNE-01-1-1 (uniform across DU — midhaul-bound),
ALM-00058,2025-06-21T09:00:00Z,MINOR,CELL-BNE-01-1-2,PRB_CONGESTION,PRB elevated on CELL-BNE-01-1-2 (uniform across DU — midhaul-bound),
ALM-00059,2025-06-21T09:00:00Z,MINOR,CELL-BNE-01-1-3,PRB_CONGESTION,PRB elevated on CELL-BNE-01-1-3 (uniform across DU — midhaul-bound),
ALM-00060,2025-06-21T09:10:00Z,MINOR,CELL-BNE-01-1-1,PRB_CONGESTION,PRB elevated on CELL-BNE-01-1-1 (uniform across DU — midhaul-bound),
ALM-00061,2025-06-21T09:10:00Z,MINOR,CELL-BNE-01-1-2,PRB_CONGESTION,PRB elevated on CELL-BNE-01-1-2 (uniform across DU — midhaul-bound),
ALM-00062,2025-06-21T09:10:00Z,MINOR,CELL-BNE-01-1-3,PRB_CONGESTION,PRB elevated on CELL-BNE-01-1-3 (uniform across DU — midhaul-bound),
ALM-00063,2025-06-21T09:20:00Z,MINOR,CELL-BNE-01-1-1,PRB_CONGESTION,PRB elevated on CELL-BNE-01-1-1 (uniform across DU — midhaul-bound),
ALM-00064,2025-06-21T09:20:00Z,MINOR,CELL-BNE-01-1-2,PRB_CONGESTION,PRB elevated on CELL-BNE-01-1-2 (uniform across DU — midhaul-bound),
ALM-00065,2025-06-21T09:20:00Z,MINOR,CELL-BNE-01-1-3,PRB_CONGESTION,PRB elevated on CELL-BNE-01-1-3 (uniform across DU — midhaul-bound),
ALM-00066,2025-06-21T08:50:00Z,MAJOR,SL-MMTC-01,SIGNALING_STORM,mMTC mass-reattach storm: RRC attempt rate spiked; eMBB/URLLC slices protected,SL-MMTC-01
ALM-00067,2025-06-21T08:55:00Z,MINOR,GNB-PER-01,RACH_OVERLOAD,RACH preamble contention elevated on GNB-PER-01 (mMTC origin),
ALM-00068,2025-06-21T08:30:00Z,MAJOR,LINK-BH-GNB-SYD-02,BACKHAUL_FLAP,Backhaul N3 LINK-BH-GNB-SYD-02 flapping; intermittent gNB-wide throughput loss,
ALM-00069,2025-06-21T08:45:00Z,MAJOR,LINK-BH-GNB-SYD-02,BACKHAUL_FLAP,Backhaul N3 LINK-BH-GNB-SYD-02 flapping; intermittent gNB-wide throughput loss,
ALM-00070,2025-06-21T09:00:00Z,MAJOR,LINK-BH-GNB-SYD-02,BACKHAUL_FLAP,Backhaul N3 LINK-BH-GNB-SYD-02 flapping; intermittent gNB-wide throughput loss,
ALM-00071,2025-06-21T09:15:00Z,MAJOR,LINK-BH-GNB-SYD-02,BACKHAUL_FLAP,Backhaul N3 LINK-BH-GNB-SYD-02 flapping; intermittent gNB-wide throughput loss,
ALM-00072,2025-06-21T09:30:00Z,MAJOR,LINK-BH-GNB-SYD-02,BACKHAUL_FLAP,Backhaul N3 LINK-BH-GNB-SYD-02 flapping; intermittent gNB-wide throughput loss,
ALM-00073,2025-06-21T09:00:00Z,MAJOR,CELL-BNE-02-1-2,PRB_CONGESTION,"PRB on CELL-BNE-02-1-2 exceeded 90% (demand-driven; RRC healthy, no transport fault)",
ALM-00074,2025-06-21T09:15:00Z,MAJOR,CELL-BNE-02-1-2,PRB_CONGESTION,"PRB on CELL-BNE-02-1-2 exceeded 90% (demand-driven; RRC healthy, no transport fault)",
ALM-00075,2025-06-21T09:30:00Z,MAJOR,CELL-BNE-02-1-2,PRB_CONGESTION,"PRB on CELL-BNE-02-1-2 exceeded 90% (demand-driven; RRC healthy, no transport fault)",
ALM-00076,2025-06-21T09:45:00Z,MAJOR,CELL-BNE-02-1-2,PRB_CONGESTION,"PRB on CELL-BNE-02-1-2 exceeded 90% (demand-driven; RRC healthy, no transport fault)",
