LinkId,Timestamp,UtilizationPct,OpticalPowerDbm,BitErrorRate,LatencyMs
LINK-MEL-BNE-FIBRE-01,2026-02-04T00:15:00.000Z,35.6,-2.6,2.651e-12,15.0
LINK-SYD-AGG-NORTH-01,2026-02-04T00:15:00.000Z,33.2,-1.9,1.420e-12,1.1
LINK-SYD-AGG-SOUTH-01,2026-02-04T00:15:00.000Z,30.1,-1.3,6.472e-13,1.0
LINK-MEL-AGG-EAST-01,2026-02-04T00:15:00.000Z,24.8,-1.5,2.890e-12,1.4
LINK-MEL-AGG-WEST-01,2026-02-04T00:15:00.000Z,26.6,-1.8,7.575e-13,1.8
LINK-BNE-AGG-CENTRAL-01,2026-02-04T00:15:00.000Z,14.8,-1.4,5.758e-13,1.5
LINK-BNE-AGG-SOUTH-01,2026-02-04T00:15:00.000Z,22.6,-1.0,1.144e-12,0.7
LINK-SYD-MEL-FIBRE-01,2026-02-04T00:20:00.000Z,54.0,-3.1,3.331e-12,3.4
LINK-SYD-MEL-FIBRE-02,2026-02-04T00:20:00.000Z,38.9,-3.0,2.245e-12,10.2
LINK-SYD-BNE-FIBRE-01,2026-02-04T00:20:00.000Z,31.8,-2.1,2.686e-12,9.9
LINK-MEL-BNE-FIBRE-01,2026-02-04T00:20:00.000Z,32.8,-2.2,3.794e-12,18.4
LINK-SYD-AGG-NORTH-01,2026-02-04T00:20:00.000Z,43.4,-1.4,1.010e-12,0.6
LINK-SYD-AGG-SOUTH-01,2026-02-04T00:20:00.000Z,19.7,-1.3,1.345e-12,0.8
LINK-MEL-AGG-EAST-01,2026-02-04T00:20:00.000Z,31.2,-1.4,1.997e-12,1.0
LINK-MEL-AGG-WEST-01,2026-02-04T00:20:00.000Z,15.8,-1.5,1.036e-12,0.5
LINK-BNE-AGG-CENTRAL-01,2026-02-04T00:20:00.000Z,18.1,-0.8,1.624e-12,1.4
LINK-BNE-AGG-SOUTH-01,2026-02-04T00:20:00.000Z,17.0,-1.9,1.428e-12,1.8
LINK-SYD-MEL-FIBRE-01,2026-02-04T00:25:00.000Z,43.4,-2.7,5.404e-12,9.0
LINK-SYD-MEL-FIBRE-02,2026-02-04T00:25:00.000Z,32.2,-3.9,5.707e-12,8.4
LINK-SYD-BNE-FIBRE-01,2026-02-04T00:25:00.000Z,55.4,-2.4,1.734e-12,16.4
LINK-MEL-BNE-FIBRE-01,2026-02-04T00:25:00.000Z,42.7,-2.3,3.813e-12,13.4
LINK-SYD-AGG-NORTH-01,2026-02-04T00:25:00.000Z,25.3,-2.0,7.601e-13,0.6
LINK-SYD-AGG-SOUTH-01,2026-02-04T00:25:00.000Z,24.0,-2.2,8.983e-13,0.8
LINK-MEL-AGG-EAST-01,2026-02-04T00:25:00.000Z,30.4,-1.2,7.788e-13,0.9
LINK-MEL-AGG-WEST-01,2026-02-04T00:25:00.000Z,28.8,-1.2,2.609e-13,0.7
LINK-BNE-AGG-CENTRAL-01,2026-02-04T00:25:00.000Z,20.1,-1.4,1.534e-12,0.8
LINK-BNE-AGG-SOUTH-01,2026-02-04T00:25:00.000Z,18.8,-2.1,8.144e-13,0.7
LINK-SYD-MEL-FIBRE-01,2026-02-04T00:30:00.000Z,52.9,-2.2,9.032e-12,2.3
LINK-SYD-MEL-FIBRE-02,2026-02-04T00:30:00.000Z,25.2,-3.2,1.000e-14,5.9
LINK-SYD-BNE-FIBRE-01,2026-02-04T00:30:00.000Z,48.0,-2.9,4.964e-13,14.1
LINK-MEL-BNE-FIBRE-01,2026-02-04T00:30:00.000Z,29.2,-3.0,1.357e-12,17.7
LINK-SYD-AGG-NORTH-01,2026-02-04T00:30:00.000Z,34.3,-1.5,1.000e-14,0.6
LINK-SYD-AGG-SOUTH-01,2026-02-04T00:30:00.000Z,27.4,-1.7,2.419e-13,0.5
LINK-MEL-AGG-EAST-01,2026-02-04T00:30:00.000Z,27.1,-1.2,1.414e-12,1.0
LINK-MEL-AGG-WEST-01,2026-02-04T00:30:00.000Z,29.0,-1.7,6.391e-13,1.2
LINK-BNE-AGG-CENTRAL-01,2026-02-04T00:30:00.000Z,22.7,-1.2,1.135e-12,1.5
LINK-BNE-AGG-SOUTH-01,2026-02-04T00:30:00.000Z,24.1,-1.7,1.033e-12,1.2
LINK-SYD-MEL-FIBRE-01,2026-02-04T00:35:00.000Z,63.8,-2.7,4.917e-12,2.8
LINK-SYD-MEL-FIBRE-02,2026-02-04T00:35:00.000Z,27.9,-2.8,1.000e-14,6.0
LINK-SYD-BNE-FIBRE-01,2026-02-04T00:35:00.000Z,42.5,-1.9,1.727e-12,11.2
LINK-MEL-BNE-FIBRE-01,2026-02-04T00:35:00.000Z,45.8,-2.8,1.171e-12,15.3
LINK-SYD-AGG-NORTH-01,2026-02-04T00:35:00.000Z,27.0,-1.5,1.152e-12,1.1
LINK-SYD-AGG-SOUTH-01,2026-02-04T00:35:00.000Z,30.7,-2.0,4.027e-13,0.5
LINK-MEL-AGG-EAST-01,2026-02-04T00:35:00.000Z,30.5,-2.0,3.234e-12,1.9
LINK-MEL-AGG-WEST-01,2026-02-04T00:35:00.000Z,20.7,-1.5,2.377e-12,0.5
LINK-BNE-AGG-CENTRAL-01,2026-02-04T00:35:00.000Z,19.3,-1.4,3.852e-13,0.7
LINK-BNE-AGG-SOUTH-01,2026-02-04T00:35:00.000Z,12.4,-0.9,1.030e-12,1.3
LINK-SYD-MEL-FIBRE-01,2026-02-04T00:40:00.000Z,58.7,-3.4,1.000e-14,7.5
LINK-SYD-MEL-FIBRE-02,2026-02-04T00:40:00.000Z,33.8,-2.5,4.314e-12,3.8
LINK-SYD-BNE-FIBRE-01,2026-02-04T00:40:00.000Z,38.2,-2.8,1.254e-12,10.3
LINK-MEL-BNE-FIBRE-01,2026-02-04T00:40:00.000Z,30.0,-2.3,4.692e-12,13.0
LINK-SYD-AGG-NORTH-01,2026-02-04T00:40:00.000Z,29.9,-1.3,6.740e-13,0.8
LINK-SYD-AGG-SOUTH-01,2026-02-04T00:40:00.000Z,19.8,-1.9,1.621e-12,1.0
LINK-MEL-AGG-EAST-01,2026-02-04T00:40:00.000Z,32.7,-1.4,4.619e-12,1.6
LINK-MEL-AGG-WEST-01,2026-02-04T00:40:00.000Z,20.9,-1.3,1.355e-12,0.7
LINK-BNE-AGG-CENTRAL-01,2026-02-04T00:40:00.000Z,20.8,-1.2,1.271e-12,1.3
LINK-BNE-AGG-SOUTH-01,2026-02-04T00:40:00.000Z,13.5,-1.3,1.149e-12,0.5
LINK-SYD-MEL-FIBRE-01,2026-02-04T00:45:00.000Z,48.0,-2.7,3.783e-13,3.5
LINK-SYD-MEL-FIBRE-02,2026-02-04T00:45:00.000Z,37.7,-3.0,5.419e-12,7.6
LINK-SYD-BNE-FIBRE-01,2026-02-04T00:45:00.000Z,31.0,-2.4,3.443e-12,12.8
LINK-MEL-BNE-FIBRE-01,2026-02-04T00:45:00.000Z,37.2,-2.7,3.329e-12,20.2
LINK-SYD-AGG-NORTH-01,2026-02-04T00:45:00.000Z,31.5,-1.4,1.838e-12,1.8
LINK-SYD-AGG-SOUTH-01,2026-02-04T00:45:00.000Z,34.3,-1.4,1.426e-12,1.7
LINK-MEL-AGG-EAST-01,2026-02-04T00:45:00.000Z,21.7,-1.6,5.460e-13,1.4
LINK-MEL-AGG-WEST-01,2026-02-04T00:45:00.000Z,19.0,-1.5,7.213e-13,1.6
LINK-BNE-AGG-CENTRAL-01,2026-02-04T00:45:00.000Z,22.5,-1.7,1.778e-13,1.0
LINK-BNE-AGG-SOUTH-01,2026-02-04T00:45:00.000Z,15.6,-1.3,6.602e-13,0.5
LINK-SYD-MEL-FIBRE-01,2026-02-04T00:50:00.000Z,48.0,-1.7,9.480e-13,5.8
LINK-SYD-MEL-FIBRE-02,2026-02-04T00:50:00.000Z,22.1,-2.8,2.369e-12,1.6
LINK-SYD-BNE-FIBRE-01,2026-02-04T00:50:00.000Z,36.8,-2.4,1.657e-12,9.9
LINK-MEL-BNE-FIBRE-01,2026-02-04T00:50:00.000Z,37.7,-2.8,2.858e-12,17.1
LINK-SYD-AGG-NORTH-01,2026-02-04T00:50:00.000Z,30.4,-1.5,1.118e-12,1.4
LINK-SYD-AGG-SOUTH-01,2026-02-04T00:50:00.000Z,28.5,-1.7,1.047e-12,1.2
LINK-MEL-AGG-EAST-01,2026-02-04T00:50:00.000Z,35.1,-1.5,1.705e-12,0.5
LINK-MEL-AGG-WEST-01,2026-02-04T00:50:00.000Z,34.7,-2.0,1.529e-12,1.2
LINK-BNE-AGG-CENTRAL-01,2026-02-04T00:50:00.000Z,24.6,-1.4,1.247e-12,0.5
LINK-BNE-AGG-SOUTH-01,2026-02-04T00:50:00.000Z,19.9,-1.3,1.427e-12,2.1
LINK-SYD-MEL-FIBRE-01,2026-02-04T00:55:00.000Z,56.6,-2.0,2.687e-12,6.5
LINK-SYD-MEL-FIBRE-02,2026-02-04T00:55:00.000Z,30.2,-2.2,6.187e-12,8.6
LINK-SYD-BNE-FIBRE-01,2026-02-04T00:55:00.000Z,35.6,-1.8,1.644e-12,9.8
LINK-MEL-BNE-FIBRE-01,2026-02-04T00:55:00.000Z,31.6,-3.4,3.514e-12,10.7
LINK-SYD-AGG-NORTH-01,2026-02-04T00:55:00.000Z,24.1,-1.2,5.974e-13,1.0
LINK-SYD-AGG-SOUTH-01,2026-02-04T00:55:00.000Z,34.4,-1.6,1.457e-12,1.1
LINK-MEL-AGG-EAST-01,2026-02-04T00:55:00.000Z,36.7,-1.5,2.601e-12,1.3
LINK-MEL-AGG-WEST-01,2026-02-04T00:55:00.000Z,26.2,-1.9,1.886e-12,0.5
LINK-BNE-AGG-CENTRAL-01,2026-02-04T00:55:00.000Z,24.8,-1.0,1.000e-14,1.3
LINK-BNE-AGG-SOUTH-01,2026-02-04T00:55:00.000Z,28.6,-1.6,4.676e-13,1.9
LINK-SYD-MEL-FIBRE-01,2026-02-04T01:00:00.000Z,42.4,-3.2,5.690e-12,6.5
LINK-SYD-MEL-FIBRE-02,2026-02-04T01:00:00.000Z,21.2,-2.7,6.997e-12,2.4
LINK-SYD-BNE-FIBRE-01,2026-02-04T01:00:00.000Z,42.6,-2.2,1.780e-12,12.0
LINK-MEL-BNE-FIBRE-01,2026-02-04T01:00:00.000Z,36.7,-2.7,1.953e-12,8.0
LINK-SYD-AGG-NORTH-01,2026-02-04T01:00:00.000Z,34.8,-1.6,7.353e-13,0.5
LINK-SYD-AGG-SOUTH-01,2026-02-04T01:00:00.000Z,28.6,-1.7,1.460e-12,1.2
LINK-MEL-AGG-EAST-01,2026-02-04T01:00:00.000Z,24.0,-0.7,3.197e-12,1.3
LINK-MEL-AGG-WEST-01,2026-02-04T01:00:00.000Z,31.4,-1.4,7.263e-13,0.7
LINK-BNE-AGG-CENTRAL-01,2026-02-04T01:00:00.000Z,28.9,-1.5,1.002e-12,1.1
LINK-BNE-AGG-SOUTH-01,2026-02-04T01:00:00.000Z,18.5,-0.9,1.454e-12,1.2
LINK-SYD-MEL-FIBRE-01,2026-02-04T01:05:00.000Z,59.2,-3.4,3.692e-12,8.9
LINK-SYD-MEL-FIBRE-02,2026-02-04T01:05:00.000Z,30.5,-3.6,3.916e-12,6.1
LINK-SYD-BNE-FIBRE-01,2026-02-04T01:05:00.000Z,35.0,-2.6,2.489e-12,12.6
LINK-MEL-BNE-FIBRE-01,2026-02-04T01:05:00.000Z,36.7,-2.9,1.320e-12,11.2
LINK-SYD-AGG-NORTH-01,2026-02-04T01:05:00.000Z,31.1,-1.3,9.143e-13,1.5
LINK-SYD-AGG-SOUTH-01,2026-02-04T01:05:00.000Z,23.3,-2.0,9.533e-13,0.5
LINK-MEL-AGG-EAST-01,2026-02-04T01:05:00.000Z,27.0,-1.5,2.795e-12,0.5
LINK-MEL-AGG-WEST-01,2026-02-04T01:05:00.000Z,38.3,-0.7,7.107e-13,1.5
LINK-BNE-AGG-CENTRAL-01,2026-02-04T01:05:00.000Z,18.8,-1.4,1.586e-12,1.6
LINK-BNE-AGG-SOUTH-01,2026-02-04T01:05:00.000Z,17.0,-1.5,2.491e-13,0.5
LINK-SYD-MEL-FIBRE-01,2026-02-04T01:10:00.000Z,63.7,-2.7,5.885e-13,3.2
LINK-SYD-MEL-FIBRE-02,2026-02-04T01:10:00.000Z,29.0,-2.9,2.709e-12,7.2
LINK-SYD-BNE-FIBRE-01,2026-02-04T01:10:00.000Z,39.2,-2.8,3.258e-12,10.9
LINK-MEL-BNE-FIBRE-01,2026-02-04T01:10:00.000Z,36.6,-2.6,6.271e-12,16.1
LINK-SYD-AGG-NORTH-01,2026-02-04T01:10:00.000Z,29.6,-1.5,1.331e-12,1.4
LINK-SYD-AGG-SOUTH-01,2026-02-04T01:10:00.000Z,28.1,-1.5,1.932e-12,0.5
LINK-MEL-AGG-EAST-01,2026-02-04T01:10:00.000Z,37.7,-1.1,1.559e-12,0.8
LINK-MEL-AGG-WEST-01,2026-02-04T01:10:00.000Z,37.1,-1.5,5.663e-13,1.2
LINK-BNE-AGG-CENTRAL-01,2026-02-04T01:10:00.000Z,24.5,-1.8,1.230e-12,0.6
LINK-BNE-AGG-SOUTH-01,2026-02-04T01:10:00.000Z,21.1,-1.8,4.733e-13,1.0
LINK-SYD-MEL-FIBRE-01,2026-02-04T01:15:00.000Z,40.9,-2.7,5.079e-12,2.9
LINK-SYD-MEL-FIBRE-02,2026-02-04T01:15:00.000Z,26.8,-2.9,3.859e-12,6.2
LINK-SYD-BNE-FIBRE-01,2026-02-04T01:15:00.000Z,42.9,-2.5,1.788e-12,8.5
LINK-MEL-BNE-FIBRE-01,2026-02-04T01:15:00.000Z,26.7,-2.8,2.489e-12,9.1
LINK-SYD-AGG-NORTH-01,2026-02-04T01:15:00.000Z,28.9,-2.0,1.529e-12,0.5
LINK-SYD-AGG-SOUTH-01,2026-02-04T01:15:00.000Z,20.4,-2.0,6.863e-13,0.7
LINK-MEL-AGG-EAST-01,2026-02-04T01:15:00.000Z,34.9,-1.8,3.350e-12,0.5
LINK-MEL-AGG-WEST-01,2026-02-04T01:15:00.000Z,21.7,-1.8,1.774e-12,1.2
LINK-BNE-AGG-CENTRAL-01,2026-02-04T01:15:00.000Z,20.0,-0.9,1.139e-12,0.5
LINK-BNE-AGG-SOUTH-01,2026-02-04T01:15:00.000Z,17.2,-0.6,1.166e-12,0.5
LINK-SYD-MEL-FIBRE-01,2026-02-04T01:20:00.000Z,41.8,-3.1,3.978e-12,4.5
LINK-SYD-MEL-FIBRE-02,2026-02-04T01:20:00.000Z,25.0,-2.6,2.801e-12,5.5
LINK-SYD-BNE-FIBRE-01,2026-02-04T01:20:00.000Z,48.5,-2.1,2.441e-12,13.7
LINK-MEL-BNE-FIBRE-01,2026-02-04T01:20:00.000Z,27.8,-2.1,1.501e-12,9.6
LINK-SYD-AGG-NORTH-01,2026-02-04T01:20:00.000Z,29.8,-1.3,4.156e-13,0.8
LINK-SYD-AGG-SOUTH-01,2026-02-04T01:20:00.000Z,19.7,-1.2,1.011e-12,0.5
LINK-MEL-AGG-EAST-01,2026-02-04T01:20:00.000Z,29.3,-1.7,1.155e-12,1.7
LINK-MEL-AGG-WEST-01,2026-02-04T01:20:00.000Z,35.3,-1.3,8.077e-13,0.5
LINK-BNE-AGG-CENTRAL-01,2026-02-04T01:20:00.000Z,19.4,-1.2,1.233e-12,0.8
LINK-BNE-AGG-SOUTH-01,2026-02-04T01:20:00.000Z,13.8,-1.6,6.750e-13,1.0
LINK-SYD-MEL-FIBRE-01,2026-02-04T01:25:00.000Z,53.6,-2.5,3.497e-12,7.9
LINK-SYD-MEL-FIBRE-02,2026-02-04T01:25:00.000Z,32.2,-3.8,3.757e-12,7.5
LINK-SYD-BNE-FIBRE-01,2026-02-04T01:25:00.000Z,35.3,-2.1,3.989e-12,14.1
LINK-MEL-BNE-FIBRE-01,2026-02-04T01:25:00.000Z,38.1,-3.0,5.383e-12,18.3
LINK-SYD-AGG-NORTH-01,2026-02-04T01:25:00.000Z,32.1,-1.2,1.175e-12,1.7
LINK-SYD-AGG-SOUTH-01,2026-02-04T01:25:00.000Z,15.8,-1.2,2.492e-13,1.5
LINK-MEL-AGG-EAST-01,2026-02-04T01:25:00.000Z,32.5,-1.0,1.713e-12,0.5
LINK-MEL-AGG-WEST-01,2026-02-04T01:25:00.000Z,39.3,-1.5,5.423e-13,1.4
LINK-BNE-AGG-CENTRAL-01,2026-02-04T01:25:00.000Z,26.8,-1.2,7.261e-13,1.7
LINK-BNE-AGG-SOUTH-01,2026-02-04T01:25:00.000Z,20.4,-1.7,1.026e-12,0.5
LINK-SYD-MEL-FIBRE-01,2026-02-04T01:30:00.000Z,49.8,-2.7,2.757e-12,6.5
LINK-SYD-MEL-FIBRE-02,2026-02-04T01:30:00.000Z,29.0,-2.9,6.152e-12,7.1
LINK-SYD-BNE-FIBRE-01,2026-02-04T01:30:00.000Z,19.6,-2.9,3.454e-12,13.1
LINK-MEL-BNE-FIBRE-01,2026-02-04T01:30:00.000Z,38.2,-2.6,2.976e-12,6.7
LINK-SYD-AGG-NORTH-01,2026-02-04T01:30:00.000Z,23.9,-1.0,1.190e-12,0.5
LINK-SYD-AGG-SOUTH-01,2026-02-04T01:30:00.000Z,22.3,-1.1,1.735e-12,0.6
LINK-MEL-AGG-EAST-01,2026-02-04T01:30:00.000Z,24.0,-1.6,1.186e-12,0.5
LINK-MEL-AGG-WEST-01,2026-02-04T01:30:00.000Z,28.9,-2.1,8.732e-13,1.0
LINK-BNE-AGG-CENTRAL-01,2026-02-04T01:30:00.000Z,25.2,-1.7,1.252e-12,0.5
LINK-BNE-AGG-SOUTH-01,2026-02-04T01:30:00.000Z,30.4,-1.9,1.178e-12,0.9
LINK-SYD-MEL-FIBRE-01,2026-02-04T01:35:00.000Z,53.8,-2.0,7.960e-13,8.1
LINK-SYD-MEL-FIBRE-02,2026-02-04T01:35:00.000Z,31.7,-2.7,6.174e-12,5.3
LINK-SYD-BNE-FIBRE-01,2026-02-04T01:35:00.000Z,45.4,-2.6,2.218e-12,15.3
LINK-MEL-BNE-FIBRE-01,2026-02-04T01:35:00.000Z,26.1,-2.4,1.000e-14,14.1
LINK-SYD-AGG-NORTH-01,2026-02-04T01:35:00.000Z,26.5,-1.6,7.722e-13,1.6
LINK-SYD-AGG-SOUTH-01,2026-02-04T01:35:00.000Z,16.9,-1.0,1.317e-12,1.3
LINK-MEL-AGG-EAST-01,2026-02-04T01:35:00.000Z,29.6,-1.6,1.387e-12,1.6
LINK-MEL-AGG-WEST-01,2026-02-04T01:35:00.000Z,25.5,-1.2,1.037e-12,0.6
LINK-BNE-AGG-CENTRAL-01,2026-02-04T01:35:00.000Z,25.4,-1.1,8.509e-13,1.1
LINK-BNE-AGG-SOUTH-01,2026-02-04T01:35:00.000Z,21.0,-1.4,1.331e-12,0.5
LINK-SYD-MEL-FIBRE-01,2026-02-04T01:40:00.000Z,47.1,-2.2,5.596e-12,5.7
LINK-SYD-MEL-FIBRE-02,2026-02-04T01:40:00.000Z,28.9,-3.3,2.717e-12,5.9
LINK-SYD-BNE-FIBRE-01,2026-02-04T01:40:00.000Z,42.1,-2.7,1.830e-12,12.4
LINK-MEL-BNE-FIBRE-01,2026-02-04T01:40:00.000Z,39.6,-2.6,3.737e-12,12.3
LINK-SYD-AGG-NORTH-01,2026-02-04T01:40:00.000Z,30.4,-1.6,1.499e-12,1.1
LINK-SYD-AGG-SOUTH-01,2026-02-04T01:40:00.000Z,32.8,-1.6,1.000e-14,1.1
LINK-MEL-AGG-EAST-01,2026-02-04T01:40:00.000Z,34.6,-1.3,2.108e-12,0.6
LINK-MEL-AGG-WEST-01,2026-02-04T01:40:00.000Z,31.5,-1.8,1.372e-12,1.6
LINK-BNE-AGG-CENTRAL-01,2026-02-04T01:40:00.000Z,24.6,-1.6,1.066e-12,1.0
LINK-BNE-AGG-SOUTH-01,2026-02-04T01:40:00.000Z,20.7,-0.8,1.604e-12,1.0
LINK-SYD-MEL-FIBRE-01,2026-02-04T01:45:00.000Z,38.6,-2.8,3.259e-12,7.5
LINK-SYD-MEL-FIBRE-02,2026-02-04T01:45:00.000Z,25.5,-3.3,8.125e-13,9.1
LINK-SYD-BNE-FIBRE-01,2026-02-04T01:45:00.000Z,35.7,-2.8,2.862e-12,16.4
LINK-MEL-BNE-FIBRE-01,2026-02-04T01:45:00.000Z,37.8,-2.7,5.462e-12,14.4
LINK-SYD-AGG-NORTH-01,2026-02-04T01:45:00.000Z,30.7,-1.8,1.477e-12,0.9
LINK-SYD-AGG-SOUTH-01,2026-02-04T01:45:00.000Z,30.5,-2.0,1.445e-12,1.9
LINK-MEL-AGG-EAST-01,2026-02-04T01:45:00.000Z,32.3,-1.1,1.085e-12,0.9
LINK-MEL-AGG-WEST-01,2026-02-04T01:45:00.000Z,29.5,-1.3,1.657e-12,1.5
LINK-BNE-AGG-CENTRAL-01,2026-02-04T01:45:00.000Z,25.2,-1.3,1.310e-12,0.8
LINK-BNE-AGG-SOUTH-01,2026-02-04T01:45:00.000Z,26.4,-1.5,1.206e-12,1.7
LINK-SYD-MEL-FIBRE-01,2026-02-04T01:50:00.000Z,57.2,-2.7,4.601e-12,3.0
LINK-SYD-MEL-FIBRE-02,2026-02-04T01:50:00.000Z,17.4,-2.7,1.971e-12,12.6
LINK-SYD-BNE-FIBRE-01,2026-02-04T01:50:00.000Z,44.7,-2.3,9.964e-13,14.8
LINK-MEL-BNE-FIBRE-01,2026-02-04T01:50:00.000Z,21.7,-2.1,5.007e-12,15.1
LINK-SYD-AGG-NORTH-01,2026-02-04T01:50:00.000Z,28.0,-1.8,1.000e-14,0.5
LINK-SYD-AGG-SOUTH-01,2026-02-04T01:50:00.000Z,22.3,-1.2,2.106e-12,1.0
LINK-MEL-AGG-EAST-01,2026-02-04T01:50:00.000Z,33.6,-1.5,1.296e-12,1.0
LINK-MEL-AGG-WEST-01,2026-02-04T01:50:00.000Z,29.5,-1.9,1.421e-12,1.8
LINK-BNE-AGG-CENTRAL-01,2026-02-04T01:50:00.000Z,24.4,-1.1,1.675e-12,1.4
LINK-BNE-AGG-SOUTH-01,2026-02-04T01:50:00.000Z,24.5,-1.2,9.325e-13,0.9
LINK-SYD-MEL-FIBRE-01,2026-02-04T01:55:00.000Z,61.2,-2.6,1.893e-12,6.5
LINK-SYD-MEL-FIBRE-02,2026-02-04T01:55:00.000Z,22.1,-2.3,3.936e-12,5.7
LINK-SYD-BNE-FIBRE-01,2026-02-04T01:55:00.000Z,36.9,-2.8,1.567e-12,8.3
LINK-MEL-BNE-FIBRE-01,2026-02-04T01:55:00.000Z,36.1,-3.4,1.649e-12,12.9
LINK-SYD-AGG-NORTH-01,2026-02-04T01:55:00.000Z,33.2,-1.6,9.687e-13,0.5
LINK-SYD-AGG-SOUTH-01,2026-02-04T01:55:00.000Z,25.0,-1.4,5.135e-13,0.6
LINK-MEL-AGG-EAST-01,2026-02-04T01:55:00.000Z,29.2,-1.3,6.362e-13,0.9
LINK-MEL-AGG-WEST-01,2026-02-04T01:55:00.000Z,26.3,-1.7,1.593e-12,0.5
LINK-BNE-AGG-CENTRAL-01,2026-02-04T01:55:00.000Z,31.0,-0.7,7.844e-13,0.5
LINK-BNE-AGG-SOUTH-01,2026-02-04T01:55:00.000Z,22.2,-1.5,1.564e-12,1.2
LINK-SYD-MEL-FIBRE-01,2026-02-04T02:00:00.000Z,45.3,-3.1,8.743e-13,3.0
LINK-SYD-MEL-FIBRE-02,2026-02-04T02:00:00.000Z,22.7,-3.1,7.661e-12,5.5
LINK-SYD-BNE-FIBRE-01,2026-02-04T02:00:00.000Z,44.5,-2.7,7.045e-13,12.1
LINK-MEL-BNE-FIBRE-01,2026-02-04T02:00:00.000Z,35.7,-2.8,3.966e-12,10.6
LINK-SYD-AGG-NORTH-01,2026-02-04T02:00:00.000Z,25.1,-1.3,7.245e-13,1.1
