ReadingId,Timestamp,SensorId,SensorType,Value,Unit,Status
RD-20260204-353698,2026-02-04T00:05:00+00:00,SENS-CORE-SYD-01-CPU-001,CPULoad,41.3,%,NORMAL
RD-20260204-442242,2026-02-04T00:05:00+00:00,SENS-CORE-MEL-01-TEMP-001,Temperature,30.1,°C,NORMAL
RD-20260204-164470,2026-02-04T00:05:00+00:00,SENS-CORE-MEL-01-CPU-001,CPULoad,46.7,%,NORMAL
RD-20260204-579364,2026-02-04T00:05:00+00:00,SENS-CORE-BNE-01-TEMP-001,Temperature,33.5,°C,NORMAL
RD-20260204-709570,2026-02-04T00:10:00+00:00,SENS-SYD-MEL-F1-OPT-001,OpticalPower,-10.1,dBm,NORMAL
RD-20260204-565990,2026-02-04T00:10:00+00:00,SENS-SYD-MEL-F1-OPT-002,OpticalPower,-11.7,dBm,NORMAL
RD-20260204-076537,2026-02-04T00:10:00+00:00,SENS-SYD-MEL-F1-OPT-003,OpticalPower,-12.4,dBm,NORMAL
RD-20260204-430859,2026-02-04T00:10:00+00:00,SENS-SYD-MEL-F1-BER-001,BitErrorRate,0.0,ratio,NORMAL
RD-20260204-571598,2026-02-04T00:10:00+00:00,SENS-SYD-MEL-F1-BER-002,BitErrorRate,0.0,ratio,NORMAL
RD-20260204-836994,2026-02-04T00:10:00+00:00,SENS-SYD-MEL-F2-OPT-001,OpticalPower,-10.1,dBm,NORMAL
RD-20260204-624094,2026-02-04T00:10:00+00:00,SENS-SYD-MEL-F2-OPT-002,OpticalPower,-10.9,dBm,NORMAL
RD-20260204-017224,2026-02-04T00:10:00+00:00,SENS-SYD-BNE-F1-OPT-001,OpticalPower,-10.4,dBm,NORMAL
RD-20260204-240474,2026-02-04T00:10:00+00:00,SENS-SYD-BNE-F1-OPT-002,OpticalPower,-11.5,dBm,NORMAL
RD-20260204-819938,2026-02-04T00:10:00+00:00,SENS-MEL-BNE-F1-OPT-001,OpticalPower,-10.5,dBm,NORMAL
RD-20260204-090644,2026-02-04T00:10:00+00:00,SENS-MEL-BNE-F1-OPT-002,OpticalPower,-11.6,dBm,NORMAL
RD-20260204-474329,2026-02-04T00:10:00+00:00,SENS-CORE-SYD-01-TEMP-001,Temperature,30.4,°C,NORMAL
RD-20260204-187524,2026-02-04T00:10:00+00:00,SENS-CORE-SYD-01-CPU-001,CPULoad,35.4,%,NORMAL
RD-20260204-256151,2026-02-04T00:10:00+00:00,SENS-CORE-MEL-01-TEMP-001,Temperature,32.5,°C,NORMAL
RD-20260204-638345,2026-02-04T00:10:00+00:00,SENS-CORE-MEL-01-CPU-001,CPULoad,35.2,%,NORMAL
RD-20260204-645471,2026-02-04T00:10:00+00:00,SENS-CORE-BNE-01-TEMP-001,Temperature,33.5,°C,NORMAL
RD-20260204-776646,2026-02-04T00:15:00+00:00,SENS-SYD-MEL-F1-OPT-001,OpticalPower,-9.4,dBm,NORMAL
RD-20260204-875686,2026-02-04T00:15:00+00:00,SENS-SYD-MEL-F1-OPT-002,OpticalPower,-12.4,dBm,NORMAL
RD-20260204-017500,2026-02-04T00:15:00+00:00,SENS-SYD-MEL-F1-OPT-003,OpticalPower,-10.6,dBm,NORMAL
RD-20260204-023536,2026-02-04T00:15:00+00:00,SENS-SYD-MEL-F1-BER-001,BitErrorRate,0.0,ratio,NORMAL
RD-20260204-221476,2026-02-04T00:15:00+00:00,SENS-SYD-MEL-F1-BER-002,BitErrorRate,0.0,ratio,NORMAL
RD-20260204-461362,2026-02-04T00:15:00+00:00,SENS-SYD-MEL-F2-OPT-001,OpticalPower,-11.1,dBm,NORMAL
RD-20260204-563292,2026-02-04T00:15:00+00:00,SENS-SYD-MEL-F2-OPT-002,OpticalPower,-12.1,dBm,NORMAL
RD-20260204-646195,2026-02-04T00:15:00+00:00,SENS-SYD-BNE-F1-OPT-001,OpticalPower,-10.7,dBm,NORMAL
RD-20260204-304283,2026-02-04T00:15:00+00:00,SENS-SYD-BNE-F1-OPT-002,OpticalPower,-10.7,dBm,NORMAL
RD-20260204-383172,2026-02-04T00:15:00+00:00,SENS-MEL-BNE-F1-OPT-001,OpticalPower,-10.9,dBm,NORMAL
RD-20260204-631402,2026-02-04T00:15:00+00:00,SENS-MEL-BNE-F1-OPT-002,OpticalPower,-9.8,dBm,NORMAL
RD-20260204-583309,2026-02-04T00:15:00+00:00,SENS-CORE-SYD-01-TEMP-001,Temperature,34.3,°C,NORMAL
RD-20260204-477462,2026-02-04T00:15:00+00:00,SENS-CORE-SYD-01-CPU-001,CPULoad,36.6,%,NORMAL
RD-20260204-005891,2026-02-04T00:15:00+00:00,SENS-CORE-MEL-01-TEMP-001,Temperature,31.2,°C,NORMAL
RD-20260204-159755,2026-02-04T00:15:00+00:00,SENS-CORE-MEL-01-CPU-001,CPULoad,39.8,%,NORMAL
RD-20260204-492811,2026-02-04T00:15:00+00:00,SENS-CORE-BNE-01-TEMP-001,Temperature,32.6,°C,NORMAL
RD-20260204-442417,2026-02-04T00:20:00+00:00,SENS-SYD-MEL-F1-OPT-001,OpticalPower,-10.0,dBm,NORMAL
RD-20260204-694083,2026-02-04T00:20:00+00:00,SENS-SYD-MEL-F1-OPT-002,OpticalPower,-11.8,dBm,NORMAL
RD-20260204-226222,2026-02-04T00:20:00+00:00,SENS-SYD-MEL-F1-OPT-003,OpticalPower,-11.0,dBm,NORMAL
RD-20260204-621121,2026-02-04T00:20:00+00:00,SENS-SYD-MEL-F1-BER-001,BitErrorRate,0.0,ratio,NORMAL
RD-20260204-197370,2026-02-04T00:20:00+00:00,SENS-SYD-MEL-F1-BER-002,BitErrorRate,0.0,ratio,NORMAL
RD-20260204-241026,2026-02-04T00:20:00+00:00,SENS-SYD-MEL-F2-OPT-001,OpticalPower,-10.2,dBm,NORMAL
RD-20260204-269789,2026-02-04T00:20:00+00:00,SENS-SYD-MEL-F2-OPT-002,OpticalPower,-10.5,dBm,NORMAL
RD-20260204-786372,2026-02-04T00:20:00+00:00,SENS-SYD-BNE-F1-OPT-001,OpticalPower,-10.3,dBm,NORMAL
RD-20260204-347605,2026-02-04T00:20:00+00:00,SENS-SYD-BNE-F1-OPT-002,OpticalPower,-10.2,dBm,NORMAL
RD-20260204-569711,2026-02-04T00:20:00+00:00,SENS-MEL-BNE-F1-OPT-001,OpticalPower,-10.6,dBm,NORMAL
RD-20260204-969638,2026-02-04T00:20:00+00:00,SENS-MEL-BNE-F1-OPT-002,OpticalPower,-10.5,dBm,NORMAL
RD-20260204-102247,2026-02-04T00:20:00+00:00,SENS-CORE-SYD-01-TEMP-001,Temperature,31.8,°C,NORMAL
RD-20260204-316109,2026-02-04T00:20:00+00:00,SENS-CORE-SYD-01-CPU-001,CPULoad,26.4,%,NORMAL
RD-20260204-582783,2026-02-04T00:20:00+00:00,SENS-CORE-MEL-01-TEMP-001,Temperature,27.1,°C,NORMAL
RD-20260204-532783,2026-02-04T00:20:00+00:00,SENS-CORE-MEL-01-CPU-001,CPULoad,43.1,%,NORMAL
RD-20260204-937172,2026-02-04T00:20:00+00:00,SENS-CORE-BNE-01-TEMP-001,Temperature,35.7,°C,NORMAL
RD-20260204-033326,2026-02-04T00:25:00+00:00,SENS-SYD-MEL-F1-OPT-001,OpticalPower,-10.3,dBm,NORMAL
RD-20260204-353123,2026-02-04T00:25:00+00:00,SENS-SYD-MEL-F1-OPT-002,OpticalPower,-12.4,dBm,NORMAL
RD-20260204-041761,2026-02-04T00:25:00+00:00,SENS-SYD-MEL-F1-OPT-003,OpticalPower,-10.9,dBm,NORMAL
RD-20260204-168956,2026-02-04T00:25:00+00:00,SENS-SYD-MEL-F1-BER-001,BitErrorRate,0.0,ratio,NORMAL
RD-20260204-582401,2026-02-04T00:25:00+00:00,SENS-SYD-MEL-F1-BER-002,BitErrorRate,0.0,ratio,NORMAL
RD-20260204-192037,2026-02-04T00:25:00+00:00,SENS-SYD-MEL-F2-OPT-001,OpticalPower,-10.4,dBm,NORMAL
RD-20260204-398930,2026-02-04T00:25:00+00:00,SENS-SYD-MEL-F2-OPT-002,OpticalPower,-10.3,dBm,NORMAL
RD-20260204-788242,2026-02-04T00:25:00+00:00,SENS-SYD-BNE-F1-OPT-001,OpticalPower,-10.6,dBm,NORMAL
RD-20260204-433476,2026-02-04T00:25:00+00:00,SENS-SYD-BNE-F1-OPT-002,OpticalPower,-11.5,dBm,NORMAL
RD-20260204-132359,2026-02-04T00:25:00+00:00,SENS-MEL-BNE-F1-OPT-001,OpticalPower,-10.4,dBm,NORMAL
RD-20260204-376091,2026-02-04T00:25:00+00:00,SENS-MEL-BNE-F1-OPT-002,OpticalPower,-10.2,dBm,NORMAL
RD-20260204-657673,2026-02-04T00:25:00+00:00,SENS-CORE-SYD-01-TEMP-001,Temperature,31.3,°C,NORMAL
RD-20260204-814375,2026-02-04T00:25:00+00:00,SENS-CORE-SYD-01-CPU-001,CPULoad,23.0,%,NORMAL
RD-20260204-957899,2026-02-04T00:25:00+00:00,SENS-CORE-MEL-01-TEMP-001,Temperature,26.2,°C,NORMAL
RD-20260204-766603,2026-02-04T00:25:00+00:00,SENS-CORE-MEL-01-CPU-001,CPULoad,40.3,%,NORMAL
RD-20260204-212653,2026-02-04T00:25:00+00:00,SENS-CORE-BNE-01-TEMP-001,Temperature,33.7,°C,NORMAL
RD-20260204-529903,2026-02-04T00:30:00+00:00,SENS-SYD-MEL-F1-OPT-001,OpticalPower,-9.9,dBm,NORMAL
RD-20260204-626258,2026-02-04T00:30:00+00:00,SENS-SYD-MEL-F1-OPT-002,OpticalPower,-11.3,dBm,NORMAL
RD-20260204-417307,2026-02-04T00:30:00+00:00,SENS-SYD-MEL-F1-OPT-003,OpticalPower,-9.8,dBm,NORMAL
RD-20260204-934069,2026-02-04T00:30:00+00:00,SENS-SYD-MEL-F1-BER-001,BitErrorRate,0.0,ratio,NORMAL
RD-20260204-880764,2026-02-04T00:30:00+00:00,SENS-SYD-MEL-F1-BER-002,BitErrorRate,0.0,ratio,NORMAL
RD-20260204-740255,2026-02-04T00:30:00+00:00,SENS-SYD-MEL-F2-OPT-001,OpticalPower,-10.1,dBm,NORMAL
RD-20260204-393370,2026-02-04T00:30:00+00:00,SENS-SYD-MEL-F2-OPT-002,OpticalPower,-11.5,dBm,NORMAL
RD-20260204-664299,2026-02-04T00:30:00+00:00,SENS-SYD-BNE-F1-OPT-001,OpticalPower,-10.9,dBm,NORMAL
RD-20260204-985675,2026-02-04T00:30:00+00:00,SENS-SYD-BNE-F1-OPT-002,OpticalPower,-10.3,dBm,NORMAL
RD-20260204-870399,2026-02-04T00:30:00+00:00,SENS-MEL-BNE-F1-OPT-001,OpticalPower,-9.4,dBm,NORMAL
RD-20260204-565404,2026-02-04T00:30:00+00:00,SENS-MEL-BNE-F1-OPT-002,OpticalPower,-10.8,dBm,NORMAL
RD-20260204-201897,2026-02-04T00:30:00+00:00,SENS-CORE-SYD-01-TEMP-001,Temperature,28.0,°C,NORMAL
RD-20260204-823133,2026-02-04T00:30:00+00:00,SENS-CORE-SYD-01-CPU-001,CPULoad,29.4,%,NORMAL
RD-20260204-014621,2026-02-04T00:30:00+00:00,SENS-CORE-MEL-01-TEMP-001,Temperature,30.0,°C,NORMAL
RD-20260204-195910,2026-02-04T00:30:00+00:00,SENS-CORE-MEL-01-CPU-001,CPULoad,42.1,%,NORMAL
RD-20260204-616645,2026-02-04T00:30:00+00:00,SENS-CORE-BNE-01-TEMP-001,Temperature,31.3,°C,NORMAL
RD-20260204-631262,2026-02-04T00:35:00+00:00,SENS-SYD-MEL-F1-OPT-001,OpticalPower,-10.1,dBm,NORMAL
RD-20260204-395019,2026-02-04T00:35:00+00:00,SENS-SYD-MEL-F1-OPT-002,OpticalPower,-12.3,dBm,NORMAL
RD-20260204-531219,2026-02-04T00:35:00+00:00,SENS-SYD-MEL-F1-OPT-003,OpticalPower,-11.5,dBm,NORMAL
RD-20260204-600067,2026-02-04T00:35:00+00:00,SENS-SYD-MEL-F1-BER-001,BitErrorRate,0.0,ratio,NORMAL
RD-20260204-437503,2026-02-04T00:35:00+00:00,SENS-SYD-MEL-F1-BER-002,BitErrorRate,0.0,ratio,NORMAL
RD-20260204-489824,2026-02-04T00:35:00+00:00,SENS-SYD-MEL-F2-OPT-001,OpticalPower,-10.4,dBm,NORMAL
RD-20260204-589448,2026-02-04T00:35:00+00:00,SENS-SYD-MEL-F2-OPT-002,OpticalPower,-10.9,dBm,NORMAL
RD-20260204-465676,2026-02-04T00:35:00+00:00,SENS-SYD-BNE-F1-OPT-001,OpticalPower,-10.9,dBm,NORMAL
RD-20260204-014303,2026-02-04T00:35:00+00:00,SENS-SYD-BNE-F1-OPT-002,OpticalPower,-9.7,dBm,NORMAL
RD-20260204-116535,2026-02-04T00:35:00+00:00,SENS-MEL-BNE-F1-OPT-001,OpticalPower,-9.7,dBm,NORMAL
RD-20260204-903662,2026-02-04T00:35:00+00:00,SENS-MEL-BNE-F1-OPT-002,OpticalPower,-10.9,dBm,NORMAL
RD-20260204-180426,2026-02-04T00:35:00+00:00,SENS-CORE-SYD-01-TEMP-001,Temperature,30.1,°C,NORMAL
RD-20260204-295745,2026-02-04T00:35:00+00:00,SENS-CORE-SYD-01-CPU-001,CPULoad,34.3,%,NORMAL
RD-20260204-158824,2026-02-04T00:35:00+00:00,SENS-CORE-MEL-01-TEMP-001,Temperature,33.2,°C,NORMAL
RD-20260204-483484,2026-02-04T00:35:00+00:00,SENS-CORE-MEL-01-CPU-001,CPULoad,31.3,%,NORMAL
RD-20260204-664527,2026-02-04T00:35:00+00:00,SENS-CORE-BNE-01-TEMP-001,Temperature,28.5,°C,NORMAL
RD-20260204-681453,2026-02-04T00:40:00+00:00,SENS-SYD-MEL-F1-OPT-001,OpticalPower,-9.9,dBm,NORMAL
RD-20260204-726501,2026-02-04T00:40:00+00:00,SENS-SYD-MEL-F1-OPT-002,OpticalPower,-11.6,dBm,NORMAL
RD-20260204-804373,2026-02-04T00:40:00+00:00,SENS-SYD-MEL-F1-OPT-003,OpticalPower,-11.1,dBm,NORMAL
RD-20260204-967255,2026-02-04T00:40:00+00:00,SENS-SYD-MEL-F1-BER-001,BitErrorRate,0.0,ratio,NORMAL
RD-20260204-702615,2026-02-04T00:40:00+00:00,SENS-SYD-MEL-F1-BER-002,BitErrorRate,0.0,ratio,NORMAL
RD-20260204-972246,2026-02-04T00:40:00+00:00,SENS-SYD-MEL-F2-OPT-001,OpticalPower,-12.0,dBm,NORMAL
RD-20260204-143294,2026-02-04T00:40:00+00:00,SENS-SYD-MEL-F2-OPT-002,OpticalPower,-11.2,dBm,NORMAL
RD-20260204-700144,2026-02-04T00:40:00+00:00,SENS-SYD-BNE-F1-OPT-001,OpticalPower,-11.4,dBm,NORMAL
RD-20260204-986033,2026-02-04T00:40:00+00:00,SENS-SYD-BNE-F1-OPT-002,OpticalPower,-10.4,dBm,NORMAL
RD-20260204-132434,2026-02-04T00:40:00+00:00,SENS-MEL-BNE-F1-OPT-001,OpticalPower,-9.9,dBm,NORMAL
RD-20260204-360137,2026-02-04T00:40:00+00:00,SENS-MEL-BNE-F1-OPT-002,OpticalPower,-10.9,dBm,NORMAL
RD-20260204-047400,2026-02-04T00:40:00+00:00,SENS-CORE-SYD-01-TEMP-001,Temperature,33.0,°C,NORMAL
RD-20260204-023812,2026-02-04T00:40:00+00:00,SENS-CORE-SYD-01-CPU-001,CPULoad,36.9,%,NORMAL
RD-20260204-402680,2026-02-04T00:40:00+00:00,SENS-CORE-MEL-01-TEMP-001,Temperature,33.1,°C,NORMAL
RD-20260204-066375,2026-02-04T00:40:00+00:00,SENS-CORE-MEL-01-CPU-001,CPULoad,31.7,%,NORMAL
RD-20260204-514232,2026-02-04T00:40:00+00:00,SENS-CORE-BNE-01-TEMP-001,Temperature,36.3,°C,NORMAL
RD-20260204-735392,2026-02-04T00:45:00+00:00,SENS-SYD-MEL-F1-OPT-001,OpticalPower,-10.1,dBm,NORMAL
RD-20260204-808554,2026-02-04T00:45:00+00:00,SENS-SYD-MEL-F1-OPT-002,OpticalPower,-11.5,dBm,NORMAL
RD-20260204-435612,2026-02-04T00:45:00+00:00,SENS-SYD-MEL-F1-OPT-003,OpticalPower,-10.1,dBm,NORMAL
RD-20260204-188783,2026-02-04T00:45:00+00:00,SENS-SYD-MEL-F1-BER-001,BitErrorRate,0.0,ratio,NORMAL
RD-20260204-131647,2026-02-04T00:45:00+00:00,SENS-SYD-MEL-F1-BER-002,BitErrorRate,0.0,ratio,NORMAL
RD-20260204-518951,2026-02-04T00:45:00+00:00,SENS-SYD-MEL-F2-OPT-001,OpticalPower,-9.9,dBm,NORMAL
RD-20260204-749588,2026-02-04T00:45:00+00:00,SENS-SYD-MEL-F2-OPT-002,OpticalPower,-11.1,dBm,NORMAL
RD-20260204-303986,2026-02-04T00:45:00+00:00,SENS-SYD-BNE-F1-OPT-001,OpticalPower,-10.5,dBm,NORMAL
RD-20260204-552133,2026-02-04T00:45:00+00:00,SENS-SYD-BNE-F1-OPT-002,OpticalPower,-10.5,dBm,NORMAL
RD-20260204-915728,2026-02-04T00:45:00+00:00,SENS-MEL-BNE-F1-OPT-001,OpticalPower,-10.0,dBm,NORMAL
RD-20260204-530949,2026-02-04T00:45:00+00:00,SENS-MEL-BNE-F1-OPT-002,OpticalPower,-11.5,dBm,NORMAL
RD-20260204-768019,2026-02-04T00:45:00+00:00,SENS-CORE-SYD-01-TEMP-001,Temperature,30.0,°C,NORMAL
RD-20260204-828204,2026-02-04T00:45:00+00:00,SENS-CORE-SYD-01-CPU-001,CPULoad,38.9,%,NORMAL
RD-20260204-411652,2026-02-04T00:45:00+00:00,SENS-CORE-MEL-01-TEMP-001,Temperature,31.0,°C,NORMAL
RD-20260204-554020,2026-02-04T00:45:00+00:00,SENS-CORE-MEL-01-CPU-001,CPULoad,16.9,%,NORMAL
RD-20260204-812535,2026-02-04T00:45:00+00:00,SENS-CORE-BNE-01-TEMP-001,Temperature,33.8,°C,NORMAL
RD-20260204-617889,2026-02-04T00:50:00+00:00,SENS-SYD-MEL-F1-OPT-001,OpticalPower,-10.5,dBm,NORMAL
RD-20260204-756215,2026-02-04T00:50:00+00:00,SENS-SYD-MEL-F1-OPT-002,OpticalPower,-12.6,dBm,NORMAL
RD-20260204-671652,2026-02-04T00:50:00+00:00,SENS-SYD-MEL-F1-OPT-003,OpticalPower,-11.3,dBm,NORMAL
RD-20260204-590982,2026-02-04T00:50:00+00:00,SENS-SYD-MEL-F1-BER-001,BitErrorRate,0.0,ratio,NORMAL
RD-20260204-016470,2026-02-04T00:50:00+00:00,SENS-SYD-MEL-F1-BER-002,BitErrorRate,0.0,ratio,NORMAL
RD-20260204-743470,2026-02-04T00:50:00+00:00,SENS-SYD-MEL-F2-OPT-001,OpticalPower,-10.0,dBm,NORMAL
RD-20260204-198837,2026-02-04T00:50:00+00:00,SENS-SYD-MEL-F2-OPT-002,OpticalPower,-11.3,dBm,NORMAL
RD-20260204-814617,2026-02-04T00:50:00+00:00,SENS-SYD-BNE-F1-OPT-001,OpticalPower,-10.3,dBm,NORMAL
RD-20260204-508454,2026-02-04T00:50:00+00:00,SENS-SYD-BNE-F1-OPT-002,OpticalPower,-10.1,dBm,NORMAL
RD-20260204-580175,2026-02-04T00:50:00+00:00,SENS-MEL-BNE-F1-OPT-001,OpticalPower,-10.8,dBm,NORMAL
RD-20260204-152096,2026-02-04T00:50:00+00:00,SENS-MEL-BNE-F1-OPT-002,OpticalPower,-9.3,dBm,NORMAL
RD-20260204-207245,2026-02-04T00:50:00+00:00,SENS-CORE-SYD-01-TEMP-001,Temperature,34.4,°C,NORMAL
RD-20260204-550309,2026-02-04T00:50:00+00:00,SENS-CORE-SYD-01-CPU-001,CPULoad,25.6,%,NORMAL
RD-20260204-646202,2026-02-04T00:50:00+00:00,SENS-CORE-MEL-01-TEMP-001,Temperature,27.0,°C,NORMAL
RD-20260204-801378,2026-02-04T00:50:00+00:00,SENS-CORE-MEL-01-CPU-001,CPULoad,17.5,%,NORMAL
RD-20260204-355307,2026-02-04T00:50:00+00:00,SENS-CORE-BNE-01-TEMP-001,Temperature,35.4,°C,NORMAL
RD-20260204-291704,2026-02-04T00:55:00+00:00,SENS-SYD-MEL-F1-OPT-001,OpticalPower,-10.3,dBm,NORMAL
RD-20260204-458933,2026-02-04T00:55:00+00:00,SENS-SYD-MEL-F1-OPT-002,OpticalPower,-12.6,dBm,NORMAL
RD-20260204-562628,2026-02-04T00:55:00+00:00,SENS-SYD-MEL-F1-OPT-003,OpticalPower,-10.7,dBm,NORMAL
RD-20260204-668595,2026-02-04T00:55:00+00:00,SENS-SYD-MEL-F1-BER-001,BitErrorRate,0.0,ratio,NORMAL
RD-20260204-150990,2026-02-04T00:55:00+00:00,SENS-SYD-MEL-F1-BER-002,BitErrorRate,0.0,ratio,NORMAL
RD-20260204-588098,2026-02-04T00:55:00+00:00,SENS-SYD-MEL-F2-OPT-001,OpticalPower,-10.4,dBm,NORMAL
RD-20260204-004383,2026-02-04T00:55:00+00:00,SENS-SYD-MEL-F2-OPT-002,OpticalPower,-10.9,dBm,NORMAL
RD-20260204-476713,2026-02-04T00:55:00+00:00,SENS-SYD-BNE-F1-OPT-001,OpticalPower,-10.8,dBm,NORMAL
RD-20260204-044339,2026-02-04T00:55:00+00:00,SENS-SYD-BNE-F1-OPT-002,OpticalPower,-10.2,dBm,NORMAL
RD-20260204-985188,2026-02-04T00:55:00+00:00,SENS-MEL-BNE-F1-OPT-001,OpticalPower,-10.1,dBm,NORMAL
RD-20260204-627879,2026-02-04T00:55:00+00:00,SENS-MEL-BNE-F1-OPT-002,OpticalPower,-11.2,dBm,NORMAL
RD-20260204-139070,2026-02-04T00:55:00+00:00,SENS-CORE-SYD-01-TEMP-001,Temperature,37.1,°C,NORMAL
RD-20260204-147441,2026-02-04T00:55:00+00:00,SENS-CORE-SYD-01-CPU-001,CPULoad,31.4,%,NORMAL
RD-20260204-972573,2026-02-04T00:55:00+00:00,SENS-CORE-MEL-01-TEMP-001,Temperature,33.8,°C,NORMAL
RD-20260204-772048,2026-02-04T00:55:00+00:00,SENS-CORE-MEL-01-CPU-001,CPULoad,35.3,%,NORMAL
RD-20260204-878183,2026-02-04T00:55:00+00:00,SENS-CORE-BNE-01-TEMP-001,Temperature,35.4,°C,NORMAL
RD-20260204-844962,2026-02-04T01:00:00+00:00,SENS-SYD-MEL-F1-OPT-001,OpticalPower,-10.2,dBm,NORMAL
RD-20260204-754540,2026-02-04T01:00:00+00:00,SENS-SYD-MEL-F1-OPT-002,OpticalPower,-11.3,dBm,NORMAL
RD-20260204-087657,2026-02-04T01:00:00+00:00,SENS-SYD-MEL-F1-OPT-003,OpticalPower,-11.2,dBm,NORMAL
RD-20260204-693889,2026-02-04T01:00:00+00:00,SENS-SYD-MEL-F1-BER-001,BitErrorRate,0.0,ratio,NORMAL
RD-20260204-457949,2026-02-04T01:00:00+00:00,SENS-SYD-MEL-F1-BER-002,BitErrorRate,0.0,ratio,NORMAL
RD-20260204-886925,2026-02-04T01:00:00+00:00,SENS-SYD-MEL-F2-OPT-001,OpticalPower,-11.1,dBm,NORMAL
RD-20260204-760579,2026-02-04T01:00:00+00:00,SENS-SYD-MEL-F2-OPT-002,OpticalPower,-10.4,dBm,NORMAL
RD-20260204-897940,2026-02-04T01:00:00+00:00,SENS-SYD-BNE-F1-OPT-001,OpticalPower,-10.7,dBm,NORMAL
RD-20260204-241177,2026-02-04T01:00:00+00:00,SENS-SYD-BNE-F1-OPT-002,OpticalPower,-10.3,dBm,NORMAL
RD-20260204-529241,2026-02-04T01:00:00+00:00,SENS-MEL-BNE-F1-OPT-001,OpticalPower,-9.6,dBm,NORMAL
RD-20260204-780973,2026-02-04T01:00:00+00:00,SENS-MEL-BNE-F1-OPT-002,OpticalPower,-10.9,dBm,NORMAL
