AlertId,Timestamp,SourceNodeId,SourceNodeType,AlertType,Severity,Description,OpticalPowerDbm,BitErrorRate,CPUUtilPct,PacketLossPct
ALT-20260204-835217,2026-02-04T00:44:25.460Z,LINK-SYD-MEL-FIBRE-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.5,1.003e-11,25.5,0.355
ALT-20260204-076522,2026-02-04T00:44:39.213Z,LINK-BNE-AGG-CENTRAL-01,TransportLink,HIGH_CPU,MINOR,CPU utilisation 0.4% — brief convergence spike,-2.8,4.934e-12,28.9,0.341
ALT-20260204-823658,2026-02-04T00:44:41.635Z,LINK-SYD-MEL-FIBRE-01,TransportLink,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-2.7,3.328e-12,33.0,0.276
ALT-20260204-662802,2026-02-04T00:45:00.614Z,GNB-BNE-4012,BaseStation,HIGH_CPU,MINOR,CPU utilisation 0.4% — brief convergence spike,-2.0,3.954e-12,28.2,0.336
ALT-20260204-673346,2026-02-04T00:47:17.919Z,LINK-SYD-MEL-FIBRE-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.4,4.257e-12,34.9,0.001
ALT-20260204-002345,2026-02-04T00:47:45.888Z,GNB-SYD-2041,BaseStation,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-2.1,5.424e-12,27.1,0.001
ALT-20260204-009047,2026-02-04T00:47:52.014Z,GNB-BNE-4011,BaseStation,HIGH_CPU,MINOR,CPU utilisation 0.3% — brief convergence spike,-1.9,4.276e-12,51.4,0.838
ALT-20260204-729034,2026-02-04T00:48:43.900Z,GNB-MEL-3021,BaseStation,HIGH_CPU,MINOR,CPU utilisation 1.0% — brief convergence spike,-2.9,8.371e-12,43.4,0.33
ALT-20260204-258913,2026-02-04T00:48:45.991Z,GNB-MEL-3021,BaseStation,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-2.6,1.684e-12,23.0,0.001
ALT-20260204-044900,2026-02-04T00:50:22.060Z,LINK-SYD-BNE-FIBRE-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.4,4.871e-12,47.4,0.049
ALT-20260204-862249,2026-02-04T00:52:38.810Z,LINK-MEL-AGG-EAST-01,TransportLink,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-2.1,1.453e-12,14.3,0.496
ALT-20260204-349881,2026-02-04T00:52:50.174Z,GNB-BNE-4012,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.0,3.504e-12,36.1,0.568
ALT-20260204-329456,2026-02-04T00:53:35.582Z,LINK-MEL-AGG-EAST-01,TransportLink,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-2.3,7.484e-12,49.4,0.226
ALT-20260204-980403,2026-02-04T00:53:45.002Z,GNB-SYD-2041,BaseStation,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-2.2,3.626e-12,30.0,0.44
ALT-20260204-881424,2026-02-04T00:59:38.931Z,GNB-MEL-3011,BaseStation,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.76% — transient microloop,-2.6,3.402e-12,31.1,0.757
ALT-20260204-295117,2026-02-04T01:00:14.350Z,LINK-SYD-AGG-SOUTH-01,TransportLink,HIGH_CPU,MINOR,CPU utilisation 0.8% — brief convergence spike,-3.5,2.016e-12,25.2,0.313
ALT-20260204-949240,2026-02-04T01:02:19.291Z,LINK-BNE-AGG-SOUTH-01,TransportLink,HIGH_CPU,MINOR,CPU utilisation 1.3% — brief convergence spike,-3.2,6.498e-12,32.4,0.413
ALT-20260204-573077,2026-02-04T01:04:07.693Z,GNB-MEL-3021,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.1,5.873e-12,28.6,0.198
ALT-20260204-941105,2026-02-04T01:07:25.866Z,LINK-SYD-AGG-SOUTH-01,TransportLink,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-3.4,7.739e-12,15.4,0.025
ALT-20260204-354199,2026-02-04T01:11:05.845Z,LINK-SYD-AGG-NORTH-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.0,4.023e-12,29.8,0.35
ALT-20260204-090865,2026-02-04T01:11:31.093Z,LINK-MEL-AGG-EAST-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.7,3.256e-12,55.9,0.362
ALT-20260204-894937,2026-02-04T01:12:38.126Z,LINK-BNE-AGG-SOUTH-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.4,1.000e-14,25.7,0.606
ALT-20260204-569661,2026-02-04T01:16:38.791Z,LINK-SYD-MEL-FIBRE-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.7,5.945e-12,29.9,0.452
ALT-20260204-954216,2026-02-04T01:17:46.150Z,GNB-BNE-4011,BaseStation,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-2.6,1.000e-14,40.6,0.398
ALT-20260204-963752,2026-02-04T01:20:15.680Z,GNB-MEL-3012,BaseStation,HIGH_CPU,MINOR,CPU utilisation 0.9% — brief convergence spike,-3.2,3.780e-12,19.0,0.43
ALT-20260204-750258,2026-02-04T01:23:06.693Z,LINK-MEL-AGG-EAST-01,TransportLink,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-2.5,1.000e-14,29.4,0.66
ALT-20260204-039420,2026-02-04T01:27:25.617Z,GNB-SYD-2041,BaseStation,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-2.5,1.000e-14,38.1,0.3
ALT-20260204-565185,2026-02-04T01:29:33.616Z,LINK-MEL-AGG-WEST-01,TransportLink,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-3.1,6.153e-12,54.0,0.762
ALT-20260204-290260,2026-02-04T01:31:09.943Z,GNB-BNE-4011,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.3,5.195e-12,43.1,0.123
ALT-20260204-559999,2026-02-04T01:31:33.325Z,GNB-MEL-3021,BaseStation,HIGH_CPU,MINOR,CPU utilisation 1.0% — brief convergence spike,-3.1,1.000e-14,21.0,0.114
ALT-20260204-173024,2026-02-04T01:31:51.024Z,LINK-MEL-AGG-WEST-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.4,8.750e-12,45.1,0.546
ALT-20260204-173446,2026-02-04T01:34:46.871Z,GNB-MEL-3011,BaseStation,HIGH_CPU,MINOR,CPU utilisation 0.8% — brief convergence spike,-3.1,5.333e-12,29.8,0.001
ALT-20260204-714273,2026-02-04T01:35:11.954Z,GNB-BNE-4011,BaseStation,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-3.0,4.855e-12,26.2,0.375
ALT-20260204-376381,2026-02-04T01:35:45.610Z,LINK-BNE-AGG-CENTRAL-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.1,9.222e-12,42.1,0.577
ALT-20260204-296871,2026-02-04T01:38:35.314Z,LINK-MEL-BNE-FIBRE-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.2,9.616e-14,54.8,0.241
ALT-20260204-466603,2026-02-04T01:39:19.685Z,LINK-SYD-AGG-NORTH-01,TransportLink,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-3.0,1.810e-12,23.8,0.473
ALT-20260204-344041,2026-02-04T01:39:23.650Z,LINK-BNE-AGG-SOUTH-01,TransportLink,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-3.9,1.000e-14,25.0,0.774
ALT-20260204-200076,2026-02-04T01:39:49.568Z,LINK-SYD-BNE-FIBRE-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 1.26% — transient microloop,-2.5,5.995e-12,31.0,0.001
ALT-20260204-078582,2026-02-04T01:40:32.578Z,GNB-MEL-3012,BaseStation,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.46% — transient microloop,-3.5,1.000e-14,21.4,0.079
ALT-20260204-822854,2026-02-04T01:41:33.222Z,LINK-MEL-AGG-EAST-01,TransportLink,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-2.2,5.221e-13,34.5,0.411
ALT-20260204-800820,2026-02-04T01:41:37.084Z,GNB-MEL-3011,BaseStation,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-3.2,1.000e-14,38.0,0.001
ALT-20260204-804901,2026-02-04T01:42:21.542Z,LINK-MEL-AGG-WEST-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.3,2.248e-12,36.3,0.354
ALT-20260204-781102,2026-02-04T01:42:51.170Z,LINK-SYD-MEL-FIBRE-02,TransportLink,HIGH_CPU,MINOR,CPU utilisation 0.5% — brief convergence spike,-2.1,3.091e-12,13.5,0.281
ALT-20260204-838188,2026-02-04T01:42:58.471Z,LINK-SYD-AGG-SOUTH-01,TransportLink,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-3.0,1.675e-12,36.2,0.496
ALT-20260204-097592,2026-02-04T01:43:13.990Z,LINK-BNE-AGG-SOUTH-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 1.45% — transient microloop,-2.7,2.903e-12,30.6,0.208
ALT-20260204-576205,2026-02-04T01:43:57.361Z,GNB-SYD-2041,BaseStation,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-2.9,6.919e-12,45.7,0.611
ALT-20260204-261877,2026-02-04T01:46:05.639Z,LINK-MEL-AGG-EAST-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.3,9.544e-12,42.9,0.291
ALT-20260204-361018,2026-02-04T01:46:28.390Z,LINK-SYD-AGG-NORTH-01,TransportLink,HIGH_CPU,MINOR,CPU utilisation 1.1% — brief convergence spike,-2.7,6.396e-12,30.9,0.867
ALT-20260204-920696,2026-02-04T01:46:38.859Z,GNB-MEL-3011,BaseStation,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-2.0,5.200e-12,17.1,0.11
ALT-20260204-174700,2026-02-04T01:46:43.396Z,GNB-SYD-2041,BaseStation,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-3.7,8.985e-12,36.1,0.208
ALT-20260204-885769,2026-02-04T01:47:04.603Z,GNB-BNE-4011,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.9,7.107e-12,23.4,0.712
ALT-20260204-750988,2026-02-04T01:47:06.530Z,LINK-BNE-AGG-SOUTH-01,TransportLink,HIGH_CPU,MINOR,CPU utilisation 1.2% — brief convergence spike,-2.6,4.974e-12,39.8,0.245
ALT-20260204-332660,2026-02-04T01:47:23.616Z,LINK-SYD-MEL-FIBRE-02,TransportLink,HIGH_CPU,MINOR,CPU utilisation 0.7% — brief convergence spike,-2.9,1.730e-13,32.3,0.179
ALT-20260204-484638,2026-02-04T01:48:56.942Z,LINK-SYD-MEL-FIBRE-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.6,6.632e-12,39.0,0.24
ALT-20260204-290001,2026-02-04T01:49:48.399Z,GNB-MEL-3012,BaseStation,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-2.6,6.055e-12,37.0,0.267
ALT-20260204-533033,2026-02-04T01:51:44.658Z,LINK-BNE-AGG-SOUTH-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.6,3.937e-12,45.0,0.983
ALT-20260204-780776,2026-02-04T01:51:56.060Z,GNB-MEL-3012,BaseStation,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-2.7,8.667e-13,31.9,0.001
ALT-20260204-849885,2026-02-04T01:54:38.167Z,GNB-MEL-3021,BaseStation,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-1.5,1.581e-12,16.2,0.07
ALT-20260204-200111,2026-02-04T01:55:51.832Z,LINK-BNE-AGG-CENTRAL-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.4,7.416e-12,48.3,0.187
ALT-20260204-745927,2026-02-04T01:56:56.096Z,LINK-SYD-BNE-FIBRE-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.2,4.684e-12,48.8,0.681
ALT-20260204-532013,2026-02-04T01:59:44.680Z,LINK-SYD-BNE-FIBRE-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.5,6.821e-12,39.1,0.258
ALT-20260204-660487,2026-02-04T02:00:51.884Z,GNB-SYD-2042,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.6,5.544e-12,36.9,0.324
ALT-20260204-694850,2026-02-04T02:02:46.286Z,LINK-MEL-AGG-EAST-01,TransportLink,HIGH_CPU,MINOR,CPU utilisation 0.7% — brief convergence spike,-3.1,3.630e-12,38.3,0.425
ALT-20260204-310563,2026-02-04T02:02:53.934Z,GNB-BNE-4012,BaseStation,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 1.47% — transient microloop,-2.7,1.030e-11,37.4,0.624
ALT-20260204-009273,2026-02-04T02:03:45.719Z,LINK-BNE-AGG-CENTRAL-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.93% — transient microloop,-2.5,5.458e-12,32.9,0.03
ALT-20260204-618596,2026-02-04T02:03:47.839Z,GNB-MEL-3012,BaseStation,HIGH_CPU,MINOR,CPU utilisation 1.1% — brief convergence spike,-2.5,1.000e-14,43.7,0.3
ALT-20260204-106094,2026-02-04T02:05:17.032Z,LINK-SYD-AGG-SOUTH-01,TransportLink,HIGH_CPU,MINOR,CPU utilisation 0.9% — brief convergence spike,-1.8,1.977e-12,38.1,0.88
ALT-20260204-227425,2026-02-04T02:05:44.304Z,LINK-SYD-AGG-SOUTH-01,TransportLink,HIGH_CPU,MINOR,CPU utilisation 0.8% — brief convergence spike,-2.2,4.518e-12,28.1,0.34
ALT-20260204-032752,2026-02-04T02:06:20.754Z,LINK-SYD-AGG-NORTH-01,TransportLink,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-3.1,4.657e-12,28.4,0.001
ALT-20260204-101277,2026-02-04T02:06:38.130Z,GNB-MEL-3021,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.2,1.564e-12,18.3,0.669
ALT-20260204-218543,2026-02-04T02:07:02.691Z,LINK-BNE-AGG-SOUTH-01,TransportLink,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-3.0,6.245e-12,35.1,0.259
ALT-20260204-723095,2026-02-04T02:08:15.300Z,LINK-SYD-MEL-FIBRE-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.47% — transient microloop,-3.3,1.543e-12,42.5,0.776
ALT-20260204-977875,2026-02-04T02:10:07.873Z,LINK-SYD-MEL-FIBRE-02,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-1.8,7.466e-12,28.0,0.624
ALT-20260204-512757,2026-02-04T02:11:05.934Z,LINK-SYD-MEL-FIBRE-02,TransportLink,HIGH_CPU,MINOR,CPU utilisation 1.3% — brief convergence spike,-3.0,2.388e-12,18.8,0.015
ALT-20260204-468066,2026-02-04T02:13:11.392Z,LINK-SYD-AGG-SOUTH-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 1.26% — transient microloop,-3.3,9.350e-12,16.7,0.186
ALT-20260204-506262,2026-02-04T02:13:34.015Z,LINK-MEL-BNE-FIBRE-01,TransportLink,HIGH_CPU,MINOR,CPU utilisation 1.0% — brief convergence spike,-3.5,2.018e-12,37.8,0.208
ALT-20260204-968943,2026-02-04T02:17:23.023Z,GNB-BNE-4012,BaseStation,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-3.3,5.226e-12,56.5,0.592
ALT-20260204-294784,2026-02-04T02:18:41.086Z,LINK-SYD-AGG-SOUTH-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.6,3.355e-12,40.3,0.34
ALT-20260204-671269,2026-02-04T02:19:34.318Z,LINK-SYD-AGG-NORTH-01,TransportLink,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-2.9,9.775e-12,44.9,0.618
ALT-20260204-855737,2026-02-04T02:21:48.652Z,LINK-BNE-AGG-CENTRAL-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.81% — transient microloop,-3.4,1.676e-12,14.9,0.011
ALT-20260204-809297,2026-02-04T02:22:12.797Z,LINK-SYD-MEL-FIBRE-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.7,6.340e-12,23.1,0.162
ALT-20260204-499185,2026-02-04T02:25:00.462Z,LINK-SYD-MEL-FIBRE-01,TransportLink,HIGH_CPU,MINOR,CPU utilisation 0.9% — brief convergence spike,-2.9,1.589e-12,13.9,0.001
ALT-20260204-820557,2026-02-04T02:25:05.976Z,LINK-SYD-MEL-FIBRE-02,TransportLink,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-2.6,2.471e-12,31.2,0.042
ALT-20260204-506411,2026-02-04T02:26:21.733Z,LINK-SYD-AGG-NORTH-01,TransportLink,HIGH_CPU,MINOR,CPU utilisation 1.3% — brief convergence spike,-1.6,6.440e-12,67.3,0.188
ALT-20260204-321849,2026-02-04T02:26:35.998Z,LINK-BNE-AGG-SOUTH-01,TransportLink,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-3.9,9.522e-12,40.0,0.001
ALT-20260204-159026,2026-02-04T02:27:19.958Z,LINK-SYD-AGG-NORTH-01,TransportLink,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-2.2,4.756e-12,31.2,0.593
ALT-20260204-648636,2026-02-04T02:31:13.008Z,GNB-MEL-3021,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.8,5.215e-12,40.5,0.419
ALT-20260204-286202,2026-02-04T02:31:57.610Z,GNB-SYD-2043,BaseStation,DUPLICATE_ALERT,MINOR,Duplicate alarm suppressed — flapping interface,-2.0,8.021e-12,35.2,0.177
ALT-20260204-539938,2026-02-04T02:33:31.085Z,LINK-SYD-AGG-SOUTH-01,TransportLink,HIGH_CPU,MINOR,CPU utilisation 1.3% — brief convergence spike,-2.5,1.013e-12,33.8,0.65
ALT-20260204-095660,2026-02-04T02:33:41.866Z,GNB-MEL-3021,BaseStation,HIGH_CPU,MINOR,CPU utilisation 1.4% — brief convergence spike,-2.6,1.000e-14,21.1,0.117
ALT-20260204-985059,2026-02-04T02:35:53.288Z,LINK-SYD-MEL-FIBRE-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.40% — transient microloop,-3.2,3.029e-12,24.3,0.408
